- - - - - System information - - - - -
Page Size: 256 bytes
Number of Frames: 64
TLB Size: 16 entries
Physical Memory Size: 16 KB
- - - - - - - - - - -

Virtual Address: 30338, Physical Address: 130, Value: 29
Virtual Address: 64219, Physical Address: 475, Value: 182
Virtual Address: 21573, Physical Address: 581, Value: 0
Virtual Address: 11611, Physical Address: 859, Value: 86
Virtual Address: 44177, Physical Address: 1169, Value: 0
Virtual Address: 738, Physical Address: 1506, Value: 0
Virtual Address: 48782, Physical Address: 1678, Value: 47
Virtual Address: 54717, Physical Address: 1981, Value: 0
Virtual Address: 59450, Physical Address: 2106, Value: 58
Virtual Address: 56998, Physical Address: 2470, Value: 55
Virtual Address: 48709, Physical Address: 1605, Value: 0
Virtual Address: 623, Physical Address: 1391, Value: 155
Virtual Address: 28674, Physical Address: 2562, Value: 28
Virtual Address: 65324, Physical Address: 2860, Value: 0
Virtual Address: 11608, Physical Address: 856, Value: 0
Virtual Address: 34057, Physical Address: 3081, Value: 0
Virtual Address: 33427, Physical Address: 3475, Value: 164
Virtual Address: 47083, Physical Address: 3819, Value: 250
Virtual Address: 49590, Physical Address: 4022, Value: 48
Virtual Address: 59903, Physical Address: 4351, Value: 127
Virtual Address: 14450, Physical Address: 4466, Value: 14
Virtual Address: 44929, Physical Address: 4737, Value: 0
Virtual Address: 12636, Physical Address: 4956, Value: 0
Virtual Address: 48819, Physical Address: 1715, Value: 172
Virtual Address: 656, Physical Address: 1424, Value: 0
Virtual Address: 53305, Physical Address: 5177, Value: 0
Virtual Address: 17080, Physical Address: 5560, Value: 0
Virtual Address: 19134, Physical Address: 5822, Value: 18
Virtual Address: 65210, Physical Address: 6074, Value: 63
Virtual Address: 65178, Physical Address: 6042, Value: 63
Virtual Address: 39731, Physical Address: 6195, Value: 204
Virtual Address: 385, Physical Address: 6529, Value: 0
Virtual Address: 37581, Physical Address: 6861, Value: 0
Virtual Address: 10001, Physical Address: 6929, Value: 0
Virtual Address: 43642, Physical Address: 7290, Value: 42
Virtual Address: 53124, Physical Address: 7556, Value: 0
Virtual Address: 37885, Physical Address: 7933, Value: 0
Virtual Address: 45914, Physical Address: 8026, Value: 44
Virtual Address: 60261, Physical Address: 8293, Value: 0
Virtual Address: 47109, Physical Address: 8453, Value: 0
Virtual Address: 57385, Physical Address: 8745, Value: 0
Virtual Address: 11998, Physical Address: 9182, Value: 11
Virtual Address: 64229, Physical Address: 9445, Value: 0
Virtual Address: 13963, Physical Address: 9611, Value: 162
Virtual Address: 30971, Physical Address: 9979, Value: 62
Virtual Address: 2980, Physical Address: 10148, Value: 0
Virtual Address: 30919, Physical Address: 9927, Value: 49
Virtual Address: 6779, Physical Address: 10363, Value: 158
Virtual Address: 41375, Physical Address: 10655, Value: 103
Virtual Address: 19515, Physical Address: 10811, Value: 14
Virtual Address: 62702, Physical Address: 11246, Value: 61
Virtual Address: 47148, Physical Address: 8492, Value: 0
Virtual Address: 3252, Physical Address: 11444, Value: 0
Virtual Address: 16083, Physical Address: 11731, Value: 180
Virtual Address: 48983, Physical Address: 11863, Value: 213
Virtual Address: 28559, Physical Address: 12175, Value: 227
Virtual Address: 12128, Physical Address: 12384, Value: 0
Virtual Address: 32996, Physical Address: 12772, Value: 0
Virtual Address: 52472, Physical Address: 13048, Value: 0
Virtual Address: 43214, Physical Address: 13262, Value: 42
Virtual Address: 24011, Physical Address: 13515, Value: 114
Virtual Address: 54567, Physical Address: 13607, Value: 73
Virtual Address: 61617, Physical Address: 14001, Value: 0
Virtual Address: 3548, Physical Address: 14300, Value: 0
Virtual Address: 55487, Physical Address: 14527, Value: 47
Virtual Address: 64889, Physical Address: 14713, Value: 0
Virtual Address: 10427, Physical Address: 15035, Value: 46
Virtual Address: 60957, Physical Address: 15133, Value: 0
Virtual Address: 25613, Physical Address: 15373, Value: 0
Virtual Address: 19291, Physical Address: 15707, Value: 214
Virtual Address: 355, Physical Address: 15971, Value: 88
Virtual Address: 20036, Physical Address: 16196, Value: 0
Virtual Address: 50187, Physical Address: 4294967051, Value: 0
Virtual Address: 7130, Physical Address: 4294967258, Value: 0
Virtual Address: 4677, Physical Address: 4294967109, Value: 1
Virtual Address: 15018, Physical Address: 4294967210, Value: 0
Virtual Address: 12508, Physical Address: 4294967260, Value: 0
Virtual Address: 24150, Physical Address: 4294967126, Value: 0
Virtual Address: 4545, Physical Address: 4294967233, Value: 0
Virtual Address: 19153, Physical Address: 4294967249, Value: 0
Virtual Address: 58061, Physical Address: 4294967245, Value: 0
Virtual Address: 61670, Physical Address: 14054, Value: 60
Virtual Address: 23502, Physical Address: 4294967246, Value: 0
Virtual Address: 12010, Physical Address: 4294967274, Value: 0
Virtual Address: 7275, Physical Address: 4294967147, Value: 0
Virtual Address: 58527, Physical Address: 4294967199, Value: 0
Virtual Address: 61257, Physical Address: 4294967113, Value: 0
Virtual Address: 49715, Physical Address: 4294967091, Value: 0
Virtual Address: 33923, Physical Address: 4294967171, Value: 0
Virtual Address: 11462, Physical Address: 4294967238, Value: 0
Virtual Address: 63272, Physical Address: 4294967080, Value: 0
Virtual Address: 44056, Physical Address: 4294967064, Value: 0
Virtual Address: 30179, Physical Address: 4294967267, Value: 0
Virtual Address: 5028, Physical Address: 4294967204, Value: 0
Virtual Address: 49784, Physical Address: 4294967160, Value: 48
Virtual Address: 53330, Physical Address: 4294967122, Value: 0
Virtual Address: 22587, Physical Address: 4294967099, Value: 0
Virtual Address: 29989, Physical Address: 4294967077, Value: 0
Virtual Address: 3313, Physical Address: 4294967281, Value: 0
